Local time,Ask,Bid,AskVolume,BidVolume
26.03.2021 08:00:04.442 GMT-0000,3437.303,3414.697,0.02,0.02
26.03.2021 08:00:04.554 GMT-0000,3435.385,3414.533,0.02,0.02
26.03.2021 08:00:04.696 GMT-0000,3435.303,3415.738,0.0075,0.0075
26.03.2021 08:00:04.746 GMT-0000,3437.262,3415.533,0.02,0.02
26.03.2021 08:00:05.429 GMT-0000,3435.221,3420.697,0.0075,0.0075
26.03.2021 08:00:05.600 GMT-0000,3434.508,3422.6150000000002,0.02,0.0075
26.03.2021 08:00:05.651 GMT-0000,3434,3420.5740000000005,0.02,0.02
26.03.2021 08:00:05.826 GMT-0000,3435.426,3421,0.02,0.02
26.03.2021 08:00:18.906 GMT-0000,3435.1800000000003,3424.738,0.0075,0.0075
26.03.2021 08:00:18.956 GMT-0000,3437.262,3425,0.02,0.02
26.03.2021 08:00:19.337 GMT-0000,3437,3422.533,0.02,0.02
26.03.2021 08:00:19.516 GMT-0000,3435.3440000000005,3422.451,0.0075,0.0075
26.03.2021 08:00:19.566 GMT-0000,3435.467,3421.697,0.02,0.02
26.03.2021 08:00:22.513 GMT-0000,3435.385,3424.697,0.02,0.0075
26.03.2021 08:00:22.709 GMT-0000,3434,3424.7790000000005,0.02,0.02
26.03.2021 08:00:30.686 GMT-0000,3434.262,3422.697,0.02,0.02
26.03.2021 08:00:33.379 GMT-0000,3434.303,3425.492,0.0075,0.0075
26.03.2021 08:00:33.429 GMT-0000,3443.1800000000003,3426.492,0.02,0.02
26.03.2021 08:00:33.987 GMT-0000,3443.508,3427.82,0.02,0.0075
26.03.2021 08:00:34.037 GMT-0000,3445.3440000000005,3428.451,0.02,0.02
26.03.2021 08:00:34.468 GMT-0000,3447.467,3428.492,0.02,0.02
26.03.2021 08:00:34.518 GMT-0000,3446.3440000000005,3427.6150000000002,0.02,0.02
26.03.2021 08:00:34.619 GMT-0000,3447.385,3432.6150000000002,0.02,0.02
26.03.2021 08:00:36.542 GMT-0000,3448.221,3432.5740000000005,0.02,0.02
26.03.2021 08:00:41.798 GMT-0000,3449.3440000000005,3432.451,0.02,0.02
26.03.2021 08:00:44.574 GMT-0000,3449.385,3430.451,0.02,0.02
26.03.2021 08:00:50.500 GMT-0000,3449,3435.533,0.02,0.0075
