Local time,Ask,Bid,AskVolume,BidVolume
23.03.2021 08:00:15.679 GMT-0000,3305.3440000000005,3290.82,0.02,0.02
23.03.2021 08:00:16.913 GMT-0000,3286.5490000000004,3276.492,0.02,0.02
23.03.2021 08:00:23.104 GMT-0000,3276.303,3257.7790000000005,0.02,0.02
23.03.2021 08:00:23.285 GMT-0000,3283.467,3258.697,0.0075,0.02
23.03.2021 08:00:25.674 GMT-0000,3293.221,3263.697,0.02,0.02
23.03.2021 08:00:25.806 GMT-0000,3291.262,3263.492,0.02,0.02
23.03.2021 08:00:26.114 GMT-0000,3291.5490000000004,3264.7790000000005,0.02,0.02
23.03.2021 08:00:26.709 GMT-0000,3291.467,3270.533,0.02,0.0075
23.03.2021 08:00:26.964 GMT-0000,3293,3271,0.02,0.02
23.03.2021 08:00:27.014 GMT-0000,3288.426,3270.7790000000005,0.02,0.02
23.03.2021 08:00:27.134 GMT-0000,3288.262,3269.533,0.02,0.02
23.03.2021 08:00:27.927 GMT-0000,3288.303,3260.656,0.02,0.02
23.03.2021 08:00:29.077 GMT-0000,3285.467,3260.82,0.0075,0.02
23.03.2021 08:00:29.688 GMT-0000,3285.508,3264,0.02,0.0075
23.03.2021 08:00:30.399 GMT-0000,3287.303,3263.5740000000005,0.02,0.02
23.03.2021 08:00:30.499 GMT-0000,3285.385,3260,0.02,0.02
23.03.2021 08:00:31.353 GMT-0000,3284.1800000000003,3259.451,0.0075,0.02
23.03.2021 08:00:31.480 GMT-0000,3283,3259.533,0.0075,0.02
23.03.2021 08:00:32.476 GMT-0000,3275.303,3260,0.0075,0.02
23.03.2021 08:00:37.692 GMT-0000,3273.303,3259.5740000000005,0.0075,0.02
23.03.2021 08:00:37.793 GMT-0000,3270.303,3246.656,0.02,0.02
23.03.2021 08:00:38.099 GMT-0000,3273.3440000000005,3246.5740000000005,0.02,0.02
23.03.2021 08:00:38.458 GMT-0000,3273.1800000000003,3246,0.02,0.02
23.03.2021 08:00:39.184 GMT-0000,3274.467,3246.697,0.02,0.02
23.03.2021 08:00:39.350 GMT-0000,3273.303,3247,0.02,0.02
23.03.2021 08:00:40.788 GMT-0000,3272.303,3247.7790000000005,0.0075,0.0075
23.03.2021 08:00:40.888 GMT-0000,3273.303,3247.492,0.02,0.02
23.03.2021 08:00:41.135 GMT-0000,3274.221,3247.492,0.02,0.02
23.03.2021 08:00:41.808 GMT-0000,3274.3440000000005,3248.533,0.02,0.0075
23.03.2021 08:00:42.297 GMT-0000,3275.385,3250,0.02,0.02
23.03.2021 08:00:42.957 GMT-0000,3275,3251.492,0.02,0.0075
23.03.2021 08:00:43.712 GMT-0000,3275.221,3252.697,0.02,0.0075
23.03.2021 08:00:44.395 GMT-0000,3275.1800000000003,3253.6150000000002,0.02,0.0075
23.03.2021 08:00:45.107 GMT-0000,3275.508,3256,0.02,0.0075
23.03.2021 08:00:45.219 GMT-0000,3274.385,3252.82,0.02,0.02
23.03.2021 08:00:45.722 GMT-0000,3273.385,3252.697,0.02,0.02
23.03.2021 08:00:47.777 GMT-0000,3276.221,3252.451,0.02,0.02
23.03.2021 08:00:48.720 GMT-0000,3274,3252.7790000000005,0.02,0.02
23.03.2021 08:00:50.741 GMT-0000,3274.467,3255.697,0.02,0.0075
23.03.2021 08:00:51.994 GMT-0000,3273.508,3255.738,0.0075,0.02
23.03.2021 08:00:56.790 GMT-0000,3273.1800000000003,3253.492,0.02,0.02
23.03.2021 08:01:01.390 GMT-0000,3273.221,3254.492,0.02,0.0075
23.03.2021 08:01:01.491 GMT-0000,3273.385,3253.7790000000005,0.02,0.02
23.03.2021 08:01:04.096 GMT-0000,3273.5490000000004,3255,0.02,0.0075
23.03.2021 08:01:06.512 GMT-0000,3272.426,3255,0.0075,0.02
23.03.2021 08:01:10.592 GMT-0000,3273.426,3254.492,0.02,0.02
23.03.2021 08:01:15.064 GMT-0000,3270.508,3254.697,0.0075,0.0075
23.03.2021 08:01:15.114 GMT-0000,3269.303,3247.697,0.02,0.02
23.03.2021 08:01:15.165 GMT-0000,3269.221,3246.7790000000005,0.02,0.02
23.03.2021 08:01:15.282 GMT-0000,3267.508,3246.697,0.0075,0.0075
23.03.2021 08:01:15.343 GMT-0000,3267.385,3245.738,0.02,0.02
23.03.2021 08:01:15.393 GMT-0000,3266.262,3246,0.02,0.02
23.03.2021 08:01:15.619 GMT-0000,3258.426,3245.697,0.0075,0.02
23.03.2021 08:01:16.209 GMT-0000,3257.385,3235.697,0.02,0.02
23.03.2021 08:01:16.284 GMT-0000,3258.426,3235.7790000000005,0.02,0.02
23.03.2021 08:01:16.948 GMT-0000,3258.385,3236.7790000000005,0.02,0.02
23.03.2021 08:01:17.072 GMT-0000,3255.303,3236.5740000000005,0.0075,0.0075
23.03.2021 08:01:17.123 GMT-0000,3255.5490000000004,3234.738,0.02,0.02
23.03.2021 08:01:17.487 GMT-0000,3255.426,3243.451,0.0075,0.0075
23.03.2021 08:01:17.538 GMT-0000,3258.508,3243.5740000000005,0.02,0.02
23.03.2021 08:01:18.222 GMT-0000,3258.221,3241.5740000000005,0.02,0.0075
23.03.2021 08:01:18.273 GMT-0000,3258.3440000000005,3240.738,0.02,0.02
23.03.2021 08:01:19.172 GMT-0000,3258.508,3241.451,0.02,0.02
23.03.2021 08:01:19.284 GMT-0000,3258.426,3242.6150000000002,0.02,0.0075
23.03.2021 08:01:19.522 GMT-0000,3257.221,3244.7790000000005,0.0075,0.0075
23.03.2021 08:01:20.627 GMT-0000,3255.467,3245,0.0075,0.0075
23.03.2021 08:01:20.677 GMT-0000,3255.303,3241.82,0.02,0.02
23.03.2021 08:01:29.513 GMT-0000,3255.5490000000004,3240.5740000000005,0.02,0.02
23.03.2021 08:01:29.646 GMT-0000,3255.303,3227.7790000000005,0.02,0.02
23.03.2021 08:01:30.749 GMT-0000,3255.303,3238.6150000000002,0.02,0.0075
23.03.2021 08:01:30.969 GMT-0000,3254.508,3238.6150000000002,0.0075,0.02
23.03.2021 08:01:40.245 GMT-0000,3254.5490000000004,3242.7790000000005,0.02,0.02
23.03.2021 08:01:40.295 GMT-0000,3254.426,3238.5740000000005,0.02,0.02
23.03.2021 08:01:40.501 GMT-0000,3254.385,3239.6150000000002,0.02,0.0075
23.03.2021 08:01:40.602 GMT-0000,3254.303,3238.5740000000005,0.02,0.02
23.03.2021 08:01:41.508 GMT-0000,3254.5490000000004,3239.82,0.02,0.0075
23.03.2021 08:01:42.366 GMT-0000,3254,3238.82,0.02,0.02
23.03.2021 08:01:57.907 GMT-0000,3254.5490000000004,3243.5740000000005,0.02,0.0075
23.03.2021 08:01:57.957 GMT-0000,3254,3240.738,0.02,0.02
23.03.2021 08:01:58.376 GMT-0000,3254.467,3246.656,0.0075,0.0075
23.03.2021 08:01:58.427 GMT-0000,3257.385,3245.492,0.02,0.02
23.03.2021 08:01:58.577 GMT-0000,3257.262,3244.492,0.02,0.02
23.03.2021 08:01:59.930 GMT-0000,3257.303,3243.5740000000005,0.02,0.02
23.03.2021 08:02:00.971 GMT-0000,3257.3440000000005,3244.5740000000005,0.02,0.0075
23.03.2021 08:02:01.613 GMT-0000,3257.5490000000004,3245.533,0.02,0.0075
23.03.2021 08:02:01.856 GMT-0000,3257,3247.6150000000002,0.0075,0.0075
23.03.2021 08:02:01.906 GMT-0000,3269.508,3255.6150000000002,0.02,0.02
23.03.2021 08:02:01.957 GMT-0000,3270.221,3255.492,0.02,0.02
23.03.2021 08:02:02.017 GMT-0000,3270.262,3257.6150000000002,0.02,0.02
23.03.2021 08:02:02.165 GMT-0000,3270.385,3255.451,0.02,0.02
23.03.2021 08:02:02.425 GMT-0000,3270.3440000000005,3256.82,0.0075,0.0075
23.03.2021 08:02:02.475 GMT-0000,3271.262,3256.533,0.02,0.02
23.03.2021 08:02:02.526 GMT-0000,3270,3255.5740000000005,0.02,0.02
23.03.2021 08:02:02.816 GMT-0000,3282.3440000000005,3262,0.02,0.02
23.03.2021 08:02:02.884 GMT-0000,3278.467,3265.656,0.0075,0.0075
23.03.2021 08:02:03.020 GMT-0000,3282.5490000000004,3261.6150000000002,0.02,0.02
23.03.2021 08:02:03.347 GMT-0000,3282.221,3260.492,0.02,0.02
23.03.2021 08:02:03.900 GMT-0000,3282.508,3261.656,0.02,0.02
23.03.2021 08:02:04.084 GMT-0000,3276.5490000000004,3260.82,0.0075,0.0075
23.03.2021 08:02:04.134 GMT-0000,3270.303,3248,0.02,0.02
23.03.2021 08:02:04.185 GMT-0000,3270.1800000000003,3246.492,0.02,0.02
23.03.2021 08:02:04.318 GMT-0000,3266.221,3247.82,0.0075,0.0075
23.03.2021 08:02:04.418 GMT-0000,3269.3440000000005,3247.7790000000005,0.02,0.02
23.03.2021 08:02:05.077 GMT-0000,3269.508,3246.82,0.02,0.02
23.03.2021 08:02:06.390 GMT-0000,3261.508,3246.738,0.0075,0.02
23.03.2021 08:02:07.306 GMT-0000,3261.467,3247.533,0.02,0.0075
23.03.2021 08:02:08.296 GMT-0000,3261.467,3253.82,0.0075,0.02
23.03.2021 08:02:08.347 GMT-0000,3262.5490000000004,3247.451,0.02,0.02
23.03.2021 08:02:08.472 GMT-0000,3262.467,3250,0.0075,0.0075
23.03.2021 08:02:08.522 GMT-0000,3274.303,3249.492,0.02,0.02
23.03.2021 08:02:09.027 GMT-0000,3264.426,3249.6150000000002,0.0075,0.02
23.03.2021 08:02:11.492 GMT-0000,3264.385,3256.5740000000005,0.02,0.0075
23.03.2021 08:02:23.334 GMT-0000,3264.5490000000004,3248.492,0.02,0.02
23.03.2021 08:02:23.419 GMT-0000,3264.508,3247.5740000000005,0.02,0.02
23.03.2021 08:02:30.036 GMT-0000,3264,3248.738,0.02,0.02
23.03.2021 08:02:30.617 GMT-0000,3262.385,3249.82,0.02,0.02
23.03.2021 08:02:30.668 GMT-0000,3262,3247.697,0.02,0.02
23.03.2021 08:02:30.874 GMT-0000,3263.385,3247.533,0.02,0.02
23.03.2021 08:02:31.345 GMT-0000,3262.1800000000003,3247.451,0.0075,0.0075
23.03.2021 08:02:31.395 GMT-0000,3262.3440000000005,3246.492,0.02,0.02
23.03.2021 08:02:31.585 GMT-0000,3258.221,3246.6150000000002,0.02,0.02
23.03.2021 08:02:31.635 GMT-0000,3257.385,3239.533,0.02,0.02
23.03.2021 08:02:32.713 GMT-0000,3257.262,3235.7790000000005,0.02,0.0075
23.03.2021 08:02:33.974 GMT-0000,3257.221,3239.738,0.02,0.0075
23.03.2021 08:02:34.618 GMT-0000,3257.303,3242,0.02,0.0075
23.03.2021 08:02:35.057 GMT-0000,3257.508,3245.82,0.0075,0.0075
23.03.2021 08:02:35.107 GMT-0000,3258,3244.656,0.02,0.02
23.03.2021 08:02:35.505 GMT-0000,3257.1800000000003,3244.738,0.0075,0.02
23.03.2021 08:02:36.480 GMT-0000,3256,3244.82,0.0075,0.0075
23.03.2021 08:02:36.531 GMT-0000,3256.467,3244,0.02,0.02
23.03.2021 08:02:36.974 GMT-0000,3256.426,3242.82,0.02,0.02
23.03.2021 08:02:40.132 GMT-0000,3256.467,3241.492,0.02,0.02
23.03.2021 08:02:40.182 GMT-0000,3255,3241.6150000000002,0.02,0.02
