Local time,Ask,Bid,AskVolume,BidVolume
29.03.2021 08:00:09.986 GMT+0100,3458.467,3431.656,0.02,0.02
29.03.2021 08:00:10.328 GMT+0100,3452.508,3437.451,0.0075,0.0075
29.03.2021 08:00:11.732 GMT+0100,3452.385,3439.82,0.02,0.0075
29.03.2021 08:00:11.833 GMT+0100,3449.385,3439.451,0.02,0.02
29.03.2021 08:00:12.004 GMT+0100,3446.5490000000004,3433.5740000000005,0.02,0.02
29.03.2021 08:00:12.366 GMT+0100,3449.303,3429.738,0.02,0.02
29.03.2021 08:00:12.774 GMT+0100,3449.221,3427.656,0.02,0.02
29.03.2021 08:00:13.992 GMT+0100,3446.1800000000003,3427.492,0.0075,0.02
29.03.2021 08:00:15.667 GMT+0100,3446.221,3425.697,0.02,0.02
29.03.2021 08:00:33.013 GMT+0100,3444,3421.82,0.02,0.02
29.03.2021 08:00:35.005 GMT+0100,3442.385,3421.5740000000005,0.0075,0.02
29.03.2021 08:01:14.446 GMT+0100,3442.385,3431.656,0.02,0.0075
29.03.2021 08:01:23.073 GMT+0100,3440.1800000000003,3432,0.02,0.02
29.03.2021 08:01:28.028 GMT+0100,3438.262,3431.6150000000002,0.0075,0.02
29.03.2021 08:01:41.509 GMT+0100,3436.303,3432,0.0075,0.02
29.03.2021 08:02:03.758 GMT+0100,3435.3440000000005,3431.5740000000005,0.02,0.02
29.03.2021 08:02:51.610 GMT+0100,3435.1800000000003,3425.7790000000005,0.02,0.02
29.03.2021 08:03:02.655 GMT+0100,3435,3424.7790000000005,0.02,0.02
29.03.2021 08:03:03.160 GMT+0100,3435.385,3425.451,0.0075,0.0075
29.03.2021 08:03:03.210 GMT+0100,3443.385,3425.533,0.02,0.02
29.03.2021 08:03:09.568 GMT+0100,3440.385,3425.738,0.02,0.02
29.03.2021 08:03:14.862 GMT+0100,3440.426,3429.6150000000002,0.02,0.0075
29.03.2021 08:03:16.694 GMT+0100,3440.221,3427.6150000000002,0.02,0.02
29.03.2021 08:03:16.806 GMT+0100,3440.508,3427,0.02,0.02
29.03.2021 08:03:18.928 GMT+0100,3440.221,3429.82,0.02,0.0075
29.03.2021 08:03:20.417 GMT+0100,3440.5490000000004,3426.6150000000002,0.02,0.02
29.03.2021 08:03:22.461 GMT+0100,3436.467,3426.656,0.0075,0.0075
29.03.2021 08:03:22.512 GMT+0100,3436.508,3424.697,0.02,0.02
29.03.2021 08:03:22.562 GMT+0100,3433.5490000000004,3422,0.02,0.02
29.03.2021 08:03:22.671 GMT+0100,3433.262,3423,0.02,0.02
29.03.2021 08:03:26.873 GMT+0100,3433.385,3424.656,0.0075,0.0075
29.03.2021 08:03:26.923 GMT+0100,3437.467,3425.7790000000005,0.02,0.02
29.03.2021 08:03:27.370 GMT+0100,3442.3440000000005,3425.5740000000005,0.02,0.02
29.03.2021 08:03:30.560 GMT+0100,3442,3427.738,0.0075,0.0075
29.03.2021 08:03:31.247 GMT+0100,3444.385,3430.451,0.02,0.02
29.03.2021 08:03:31.712 GMT+0100,3443.426,3431.82,0.02,0.02
29.03.2021 08:03:36.660 GMT+0100,3442.5490000000004,3431.7790000000005,0.0075,0.02
29.03.2021 08:03:36.761 GMT+0100,3442.467,3430.492,0.02,0.02
29.03.2021 08:03:54.925 GMT+0100,3442.1800000000003,3428.697,0.02,0.02
29.03.2021 08:04:00.259 GMT+0100,3442.467,3429.656,0.02,0.0075
