Local time,Ask,Bid,AskVolume,BidVolume
30.03.2021 08:00:29.657 GMT+0100,3446.303,3422.697,0.0075,0.0075
30.03.2021 08:00:29.707 GMT+0100,3446.303,3436.5740000000005,0.02,0.02
30.03.2021 08:00:36.731 GMT+0100,3446.467,3438.492,0.02,0.02
30.03.2021 08:00:46.748 GMT+0100,3446.1800000000003,3436.656,0.02,0.02
30.03.2021 08:00:47.033 GMT+0100,3446.3440000000005,3439,0.0075,0.0075
30.03.2021 08:00:47.083 GMT+0100,3450.467,3438.656,0.02,0.02
30.03.2021 08:00:47.212 GMT+0100,3450.426,3437.451,0.02,0.02
30.03.2021 08:00:47.365 GMT+0100,3450.1800000000003,3436.697,0.02,0.02
30.03.2021 08:00:48.155 GMT+0100,3450.385,3446.6150000000002,0.0075,0.0075
30.03.2021 08:00:48.206 GMT+0100,3460.303,3446.492,0.02,0.02
30.03.2021 08:00:48.437 GMT+0100,3458.385,3446.697,0.0075,0.02
30.03.2021 08:00:49.164 GMT+0100,3458,3442.656,0.02,0.02
30.03.2021 08:00:49.214 GMT+0100,3452.262,3438.492,0.02,0.02
30.03.2021 08:00:50.120 GMT+0100,3454.1800000000003,3436.697,0.02,0.02
30.03.2021 08:00:50.485 GMT+0100,3454,3437.492,0.02,0.02
30.03.2021 08:00:52.315 GMT+0100,3456.385,3437.697,0.02,0.02
30.03.2021 08:00:53.118 GMT+0100,3456.467,3439.6150000000002,0.0075,0.0075
30.03.2021 08:00:53.172 GMT+0100,3458.262,3439.451,0.02,0.02
30.03.2021 08:01:19.288 GMT+0100,3458.303,3440.738,0.02,0.02
30.03.2021 08:01:19.535 GMT+0100,3458.508,3442.533,0.02,0.0075
30.03.2021 08:01:20.013 GMT+0100,3458.221,3443.738,0.02,0.0075
30.03.2021 08:01:20.063 GMT+0100,3458.5490000000004,3442.533,0.02,0.02
30.03.2021 08:01:20.934 GMT+0100,3458.303,3449.697,0.02,0.0075
30.03.2021 08:01:34.278 GMT+0100,3470.508,3450.697,0.02,0.02
30.03.2021 08:01:35.061 GMT+0100,3481.467,3452.7790000000005,0.02,0.02
30.03.2021 08:01:35.111 GMT+0100,3477.1800000000003,3452.738,0.02,0.02
30.03.2021 08:01:41.804 GMT+0100,3470.3440000000005,3451.451,0.02,0.02
30.03.2021 08:01:45.098 GMT+0100,3470.303,3449.6150000000002,0.02,0.02
30.03.2021 08:01:45.245 GMT+0100,3468,3449.451,0.0075,0.02
30.03.2021 08:01:45.415 GMT+0100,3467.221,3449.738,0.0075,0.02
