Local time,Ask,Bid,AskVolume,BidVolume
25.03.2021 08:00:12.285 GMT-0000,3363.262,3354,0.02,0.02
25.03.2021 08:00:17.690 GMT-0000,3363,3335.697,0.02,0.02
25.03.2021 08:00:19.028 GMT-0000,3362.1800000000003,3337.738,0.0075,0.0075
25.03.2021 08:00:28.955 GMT-0000,3362.262,3339.82,0.0075,0.0075
25.03.2021 08:00:34.576 GMT-0000,3360.385,3341.5740000000005,0.0075,0.0075
25.03.2021 08:00:39.989 GMT-0000,3360.508,3342.656,0.02,0.02
25.03.2021 08:00:44.391 GMT-0000,3367.508,3342.697,0.02,0.02
25.03.2021 08:00:45.018 GMT-0000,3367.262,3340.738,0.02,0.02
25.03.2021 08:00:50.330 GMT-0000,3367.426,3341.492,0.02,0.0075
25.03.2021 08:00:50.436 GMT-0000,3353.3440000000005,3336.451,0.02,0.02
25.03.2021 08:00:50.676 GMT-0000,3357.1800000000003,3336.82,0.02,0.02
25.03.2021 08:00:51.364 GMT-0000,3355.5490000000004,3336.6150000000002,0.0075,0.02
25.03.2021 08:00:51.997 GMT-0000,3355.385,3343.6150000000002,0.02,0.0075
25.03.2021 08:00:52.126 GMT-0000,3350.385,3343.492,0.0075,0.02
25.03.2021 08:00:52.283 GMT-0000,3349.1800000000003,3343.5,0.0075,0.0075
25.03.2021 08:00:52.333 GMT-0000,3345.467,3326.738,0.02,0.02
25.03.2021 08:00:53.167 GMT-0000,3345.221,3325.82,0.02,0.02
25.03.2021 08:00:53.217 GMT-0000,3344.1800000000003,3325.492,0.02,0.02
25.03.2021 08:00:53.368 GMT-0000,3342.467,3325.738,0.0075,0.02
25.03.2021 08:00:53.468 GMT-0000,3342.5490000000004,3324.656,0.02,0.02
25.03.2021 08:00:54.393 GMT-0000,3339.3440000000005,3324.533,0.0075,0.0075
25.03.2021 08:00:54.444 GMT-0000,3339.426,3321.533,0.02,0.02
25.03.2021 08:00:54.747 GMT-0000,3341.221,3314.5740000000005,0.02,0.02
